Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
BMW,Z4,2.2,Petrol,2018.0,32319.0,40706
,RAV4,2.4,Petrol,2021.0,6829.0,66031
VW,Polo,1.6,Petrol,2010.0,,7878
Ford,Mondeo,1.6,Diesel,1998.0,137896.0,4132
Ford,Focus,1.6,Petrol,2013.0,66163.0,18269
VW,Passat,1.6,Diesel,2010.0,66410.0,16414
BMW,Z4,2.2,Petrol,2014.0,61332.0,26084
Toyota,RAV4,2.4,Petrol,2016.0,,40646
Porsche,911,3.5,Petrol,2003.0,107705.0,24378
VW,Golf,1.8,Diesel,2014.0,28530.0,23034
VW,Passat,1.6,Diesel,2015.0,57933.0,24207
BMW,Z4,2.4,Petrol,,146910.0,4671
,Prius,1.4,Hybrid,2001.0,152067.0,5040
BMW,M5,4.0,Petrol,2003.0,,19474
Toyota,RAV4,1.8,Hybrid,2005.0,119097.0,11398
VW,Golf,1.2,Diesel,2008.0,97150.0,8066
Ford,Focus,2.0,Petrol,2010.0,86405.0,14567
Toyota,Yaris,1.2,Hybrid,2001.0,85798.0,5959
VW,Golf,,Diesel,2015.0,50628.0,22743
BMW,Z4,3.0,Petrol,2014.0,80934.0,26708
VW,Polo,1.0,Petrol,1998.0,97043.0,3036
Toyota,Yaris,1.0,Petrol,,58770.0,5438
VW,Passat,1.8,Petrol,,84855.0,12800
VW,Passat,1.6,Diesel,2014.0,50898.0,23677
Ford,Focus,1.6,Diesel,1998.0,152532.0,3704
Toyota,RAV4,1.8,Hybrid,2001.0,212899.0,3981
VW,Golf,1.6,Petrol,,140596.0,3988
Porsche,718 Cayman,2.4,Petrol,1988.0,256489.0,1183
BMW,X3,3.0,Petrol,2018.0,20441.0,53379
Toyota,Yaris,1.2,Petrol,1986.0,147185.0,1145
BMW,M5,4.4,Petrol,1997.0,172030.0,9255
Ford,Focus,1.8,Petrol,,149956.0,6094
VW,Passat,1.6,Diesel,2009.0,134426.0,9345
Toyota,RAV4,1.8,,2010.0,91688.0,19491
Toyota,Prius,1.8,Hybrid,2005.0,41969.0,16500
VW,Passat,2.0,Petrol,2013.0,38210.0,25482
Toyota,Prius,1.0,Hybrid,2012.0,46972.0,19023
BMW,X3,2.0,Diesel,2018.0,27389.0,44018
VW,Polo,2.0,Petrol,1995.0,128234.0,2778
VW,Passat,1.4,Diesel,2008.0,,9705
VW,Polo,,Petrol,1984.0,225099.0,489
Porsche,Cayenne,2.6,Diesel,2003.0,105361.0,15069
Ford,Focus,1.4,Petrol,,97979.0,8039
,Mondeo,1.6,Petrol,2016.0,40104.0,26053
VW,Passat,2.0,,1993.0,158259.0,2822
Porsche,718 Cayman,4.0,Petrol,2018.0,,70913
BMW,Z4,2.0,Petrol,,98644.0,14728
Ford,Focus,,Petrol,1991.0,176358.0,2025
Ford,Mondeo,1.8,Diesel,1998.0,69223.0,7267
BMW,X3,3.0,Petrol,2008.0,20860.0,27342
Toyota,RAV4,2.0,Petrol,2009.0,59936.0,19881
,Polo,1.4,Petrol,2012.0,58214.0,11916
Ford,Fiesta,1.4,Petrol,2020.0,33832.0,22982
VW,Golf,1.2,Diesel,2009.0,,8174
BMW,Z4,2.0,Petrol,1992.0,249377.0,1246
Porsche,Cayenne,,Petrol,2003.0,143603.0,10667
Ford,Mondeo,1.8,Diesel,2007.0,115932.0,9481
Ford,Fiesta,,Petrol,2016.0,61363.0,14854
VW,Polo,2.0,Petrol,2016.0,17810.0,23636
Toyota,RAV4,1.8,Hybrid,2021.0,8120.0,68163
VW,Polo,2.0,Petrol,1990.0,142888.0,1771
Toyota,Yaris,1.0,Petrol,2009.0,68094.0,8721
Ford,Mondeo,2.0,Diesel,2016.0,51724.0,28482
,Polo,1.0,Petrol,1998.0,224106.0,1062
Ford,Fiesta,1.0,Petrol,2009.0,83796.0,6768
Toyota,RAV4,2.2,,2012.0,91325.0,24685
VW,Passat,2.0,Diesel,1997.0,,3416
Ford,Focus,2.0,Diesel,2013.0,75451.0,20153
Toyota,Prius,,Hybrid,2006.0,103766.0,8671
Ford,Mondeo,1.6,Diesel,2014.0,82221.0,18224
VW,Passat,1.6,Diesel,1985.0,19000.0,4129
Toyota,RAV4,2.4,Hybrid,2012.0,94338.0,25232
Porsche,Cayenne,,Diesel,2019.0,20147.0,76182
VW,Polo,1.2,,,37411.0,19649
,Yaris,1.2,Petrol,2004.0,,2914
Porsche,718 Cayman,2.0,Petrol,1999.0,206584.0,3542
Toyota,Prius,1.0,Hybrid,1996.0,87664.0,5001
Ford,Mondeo,1.8,,2016.0,29439.0,30886
Ford,Focus,1.0,Diesel,2006.0,,6429
Ford,Mondeo,,Diesel,,,1614
Toyota,Prius,1.4,Hybrid,,72136.0,19139
Ford,Focus,2.0,Diesel,2001.0,147478.0,5272
BMW,Z4,2.4,Petrol,1997.0,149908.0,4558
BMW,M5,4.4,Petrol,1997.0,66783.0,20664
Ford,Mondeo,1.4,,2020.0,18929.0,37720
VW,Golf,1.4,Diesel,2013.0,53405.0,16365
VW,Golf,1.4,Diesel,2001.0,136439.0,4049
VW,Polo,1.2,Petrol,2001.0,110779.0,3670
VW,Golf,,Petrol,1991.0,188856.0,1528
Toyota,Yaris,1.0,Hybrid,2013.0,,19025
Ford,Focus,2.0,Diesel,,162098.0,2930
Ford,Mondeo,1.6,Diesel,2013.0,79521.0,17370
Ford,Mondeo,1.8,Diesel,2011.0,97523.0,14195
VW,Golf,1.6,Petrol,1994.0,104541.0,3304
,Golf,1.6,Petrol,,57451.0,19835
Toyota,Yaris,,Petrol,2003.0,104794.0,4947
Toyota,Yaris,1.0,Petrol,,227469.0,1517
VW,Passat,1.8,Diesel,2006.0,81107.0,12073
Ford,Fiesta,,Petrol,2008.0,79566.0,7142
Toyota,Yaris,1.4,Petrol,2007.0,85068.0,8043
Toyota,RAV4,,Hybrid,2000.0,123838.0,8299
,RAV4,2.2,Hybrid,2014.0,66511.0,33453
VW,Passat,1.6,Diesel,1999.0,207639.0,2584
BMW,X3,3.0,Diesel,1990.0,150375.0,3510
VW,Passat,,Diesel,2013.0,70458.0,18256
Toyota,Prius,1.8,Hybrid,,44550.0,33820
VW,Passat,1.6,Petrol,2012.0,53390.0,19428
Porsche,Cayenne,2.6,Diesel,2015.0,46563.0,50028
Ford,Fiesta,1.0,Petrol,,184586.0,1916
Ford,Fiesta,1.2,Petrol,2004.0,160915.0,2933
Toyota,Yaris,1.0,Hybrid,2022.0,5179.0,36086
Toyota,Yaris,1.4,Hybrid,2003.0,181179.0,3468
VW,Polo,1.4,Petrol,2019.0,23181.0,23449
Toyota,Yaris,1.4,Hybrid,2016.0,66611.0,19942
VW,Golf,1.8,Hybrid,1999.0,105901.0,5810
Ford,Focus,1.4,Diesel,2014.0,24652.0,24721
Toyota,Yaris,1.0,Petrol,,255196.0,737
VW,Polo,1.0,Petrol,2014.0,24579.0,14089
Toyota,RAV4,1.8,Petrol,2021.0,21354.0,52908
VW,Golf,2.0,Petrol,1991.0,117615.0,2741
Ford,Focus,2.0,Petrol,1999.0,,4855
,RAV4,2.0,Hybrid,2006.0,,15441
Ford,Fiesta,1.4,Petrol,2010.0,96320.0,7831
VW,Golf,1.6,Petrol,1990.0,137231.0,1967
Toyota,RAV4,2.2,Hybrid,2015.0,35448.0,43415
Toyota,RAV4,2.0,,1995.0,,5129
BMW,M5,4.0,Petrol,,46755.0,60859
VW,Polo,1.6,Petrol,,97700.0,4668
BMW,M5,5.0,Petrol,2016.0,42059.0,91415
VW,Polo,1.6,Petrol,2012.0,48576.0,13537
VW,Polo,1.4,Petrol,2006.0,76691.0,7067
Toyota,RAV4,,,2017.0,15473.0,50215
Ford,Focus,2.0,Petrol,2000.0,110549.0,6273
Ford,Fiesta,1.0,Petrol,1992.0,183342.0,994
Ford,Focus,1.4,Petrol,2012.0,94259.0,13169
Ford,Mondeo,1.4,,2018.0,42017.0,28904
VW,Golf,1.2,Petrol,1990.0,159547.0,1420
VW,Polo,1.4,Petrol,2000.0,73749.0,4833
Toyota,Yaris,1.0,Hybrid,2009.0,63292.0,10802
VW,Passat,1.4,Diesel,2013.0,71904.0,18080
Ford,Mondeo,1.4,Diesel,2006.0,159969.0,5504
Toyota,Yaris,1.2,Petrol,,75588.0,11861
Ford,Mondeo,1.4,Diesel,2018.0,,33119
VW,Polo,1.2,Petrol,1995.0,175506.0,1460
Toyota,Prius,1.8,Hybrid,1985.0,235671.0,949
VW,Polo,1.0,Petrol,1996.0,144412.0,1846
BMW,M5,4.4,Petrol,,,39453
BMW,M5,4.4,Petrol,,108396.0,24571
Porsche,Cayenne,3.0,Petrol,2013.0,68093.0,39031
Ford,Mondeo,1.6,Hybrid,2019.0,30152.0,40482
Porsche,911,3.0,Petrol,,44761.0,77091
Toyota,Yaris,1.0,Petrol,2012.0,52525.0,11780
Toyota,Yaris,1.0,Petrol,2005.0,145747.0,3754
Ford,Mondeo,1.8,Diesel,2016.0,16626.0,33172
Ford,Mondeo,1.4,,1998.0,155019.0,3364
Toyota,Prius,,Hybrid,1996.0,188308.0,2658
Ford,Focus,2.0,,,72923.0,8773
VW,Golf,1.4,Diesel,2007.0,104718.0,7710
VW,Polo,,Petrol,1992.0,258967.0,731
VW,Golf,1.2,Hybrid,2000.0,168963.0,3069
Ford,Focus,2.0,Diesel,1993.0,90439.0,4786
Toyota,Prius,1.4,,1991.0,213652.0,1523
Toyota,RAV4,2.2,Hybrid,2012.0,100268.0,23140
VW,Golf,2.0,Petrol,2019.0,26479.0,32650
VW,Passat,1.4,Diesel,2009.0,109384.0,10605
Ford,Focus,2.0,Petrol,2014.0,39083.0,25884
VW,Passat,2.0,Petrol,2002.0,,9749
Ford,Fiesta,1.4,,2008.0,114007.0,6011
Toyota,Prius,1.8,Hybrid,2003.0,,8052
VW,Polo,1.4,Petrol,1998.0,126188.0,2884
Porsche,911,3.0,Petrol,1990.0,178957.0,5344
Ford,Mondeo,1.6,Diesel,1996.0,118258.0,4217
Toyota,Yaris,1.4,Hybrid,2004.0,,7076
Ford,Focus,1.0,Petrol,1985.0,288486.0,347
VW,Passat,2.0,Diesel,1997.0,50121.0,8564
Porsche,911,,Petrol,2003.0,130068.0,17702
VW,Golf,1.8,Petrol,1992.0,135772.0,2412
VW,Golf,1.8,Petrol,2010.0,70562.0,12942
Ford,Focus,,Diesel,2003.0,139651.0,6417
Ford,Focus,1.6,Petrol,2004.0,106068.0,7575
Porsche,718 Cayman,2.0,Petrol,2019.0,18978.0,54090
VW,Polo,1.6,Diesel,2000.0,85142.0,5015
Ford,Mondeo,1.6,,2012.0,64490.0,17978
Toyota,Yaris,1.0,Petrol,1993.0,121417.0,2045
Ford,Focus,1.0,Petrol,2018.0,19640.0,26712
Toyota,RAV4,2.2,Hybrid,2009.0,99740.0,19019
Toyota,Yaris,1.4,Petrol,2004.0,159279.0,3718
Ford,Focus,,Petrol,,,4782
Porsche,718 Cayman,4.0,,1993.0,150186.0,5438
BMW,M5,4.4,Petrol,2019.0,20736.0,118474
VW,Polo,1.4,Petrol,1986.0,70039.0,1948
BMW,X3,3.0,Diesel,2017.0,30285.0,49606
Toyota,Yaris,,Petrol,2016.0,38795.0,18326
Toyota,RAV4,2.4,Hybrid,1995.0,203197.0,3359
Toyota,RAV4,2.4,Petrol,2011.0,80839.0,21637
VW,Golf,1.4,Petrol,2002.0,174535.0,3010
VW,Passat,1.6,Petrol,1993.0,,3125
Ford,Focus,1.0,,2021.0,14063.0,33627
,Z4,2.4,Petrol,1996.0,,4294
VW,Polo,1.0,Petrol,1990.0,145249.0,1229
Toyota,Prius,,Hybrid,2007.0,61357.0,12446
Toyota,Yaris,1.2,Hybrid,1997.0,,7167
Ford,Fiesta,1.4,Petrol,1986.0,263206.0,384
Toyota,Yaris,1.4,Petrol,2010.0,52847.0,12174
VW,Passat,1.6,Diesel,2009.0,100782.0,12083
VW,Polo,1.0,Petrol,1999.0,193458.0,1491
Toyota,Yaris,1.2,Petrol,1997.0,174912.0,1892
Ford,Mondeo,2.0,Hybrid,1998.0,169431.0,4074
Toyota,Prius,1.0,Hybrid,1993.0,269373.0,882
BMW,X3,2.0,Diesel,2009.0,129764.0,11999
Toyota,Prius,1.0,Hybrid,1998.0,104481.0,5060
Ford,Mondeo,2.0,Diesel,2008.0,105468.0,11556
BMW,M5,4.0,Petrol,2000.0,153596.0,12574
Ford,Fiesta,1.4,Petrol,1993.0,84644.0,2739
VW,Golf,1.6,Petrol,2001.0,205054.0,2309
VW,Polo,1.0,Petrol,1993.0,159497.0,1335
Ford,Focus,1.8,Petrol,2002.0,166994.0,4332
VW,Polo,1.4,Petrol,1997.0,143465.0,2352
Ford,Mondeo,1.6,Diesel,2015.0,,22621
Porsche,718 Cayman,4.0,Petrol,2005.0,132662.0,13935
Ford,Fiesta,1.4,Petrol,2014.0,54142.0,13615
Ford,Fiesta,1.0,Petrol,2001.0,92561.0,3732
Ford,Mondeo,1.6,Petrol,2010.0,80723.0,13432
Toyota,Yaris,1.2,Petrol,1985.0,73419.0,1861
Ford,Focus,1.6,Petrol,,84529.0,4856
Ford,Focus,,Diesel,2022.0,,49870
Toyota,RAV4,2.4,Hybrid,,144529.0,13154
Toyota,RAV4,1.8,Hybrid,2014.0,,34655
VW,Polo,1.0,Petrol,1992.0,214329.0,777
Toyota,Prius,1.8,,1997.0,188455.0,3218
VW,Polo,1.4,Petrol,,182166.0,1394
,RAV4,2.2,Hybrid,2018.0,39082.0,51898
VW,Passat,1.8,Diesel,2001.0,171268.0,4296
BMW,M5,4.4,Petrol,2011.0,78714.0,48487
VW,Passat,2.0,Diesel,2011.0,73733.0,18680
Ford,Mondeo,1.8,Diesel,1997.0,242305.0,1659
Ford,Mondeo,1.8,Diesel,2001.0,166344.0,4239
Toyota,Yaris,1.2,Hybrid,1990.0,97463.0,2633
Ford,Mondeo,1.4,Diesel,2013.0,50433.0,19668
Ford,Mondeo,1.4,Diesel,2018.0,24229.0,32057
,Z4,2.2,Petrol,2009.0,74444.0,17133
,RAV4,2.2,,2016.0,45462.0,43702
Ford,Mondeo,1.4,Diesel,2006.0,,9500
VW,Passat,1.6,Petrol,1991.0,16000.0,5963
Ford,Mondeo,2.0,Diesel,,1487.0,56459
VW,Golf,1.4,Petrol,2011.0,87947.0,10825
Ford,Mondeo,1.6,Diesel,2016.0,40113.0,27354
VW,Golf,1.4,Diesel,,76717.0,5902
VW,Passat,1.4,Petrol,1991.0,269218.0,769
Toyota,Prius,1.0,Hybrid,,48540.0,23011
Toyota,Prius,1.4,Hybrid,2013.0,88811.0,18232
,Yaris,,Petrol,,84781.0,4880
Toyota,RAV4,2.2,Hybrid,1989.0,272683.0,1142
Ford,Mondeo,1.6,Diesel,2018.0,46461.0,30075
Toyota,RAV4,1.8,Hybrid,2014.0,53321.0,32948
Ford,Mondeo,1.6,Petrol,1994.0,264924.0,989
Porsche,Cayenne,4.0,Petrol,2000.0,145140.0,10699
Toyota,Prius,,Hybrid,2007.0,,9998
VW,Golf,1.2,Diesel,1997.0,144909.0,2682
,Fiesta,1.0,Diesel,1986.0,138224.0,1019
Porsche,718 Cayman,4.0,Petrol,1988.0,219671.0,2140
VW,Passat,1.4,Diesel,1989.0,371762.0,264
VW,Passat,1.4,Diesel,1990.0,74327.0,3838
VW,Golf,1.6,Petrol,1989.0,205047.0,1037
Ford,Mondeo,1.6,Diesel,2022.0,7454.0,48982
VW,Golf,2.0,Diesel,2016.0,11234.0,30509
VW,Polo,1.6,Petrol,2010.0,,8531
VW,Golf,2.0,Petrol,2017.0,,25745
VW,Passat,,Diesel,1985.0,267541.0,549
BMW,Z4,2.2,Petrol,1997.0,250431.0,1806
Ford,Fiesta,1.2,Petrol,1989.0,149015.0,1190
Toyota,RAV4,2.0,Hybrid,2004.0,138340.0,9666
Toyota,Yaris,1.2,Hybrid,,133425.0,1640
Toyota,Prius,1.0,Hybrid,2001.0,143411.0,4571
VW,Polo,1.4,,2016.0,40742.0,17342
BMW,M5,5.0,Petrol,1999.0,82222.0,22668
VW,Golf,1.4,Petrol,2012.0,49674.0,14925
VW,Polo,,Petrol,2012.0,66103.0,12102
VW,Golf,,Petrol,1999.0,91360.0,5075
VW,Polo,2.0,Petrol,1990.0,215167.0,954
BMW,M5,4.0,Petrol,2006.0,30902.0,44836
Porsche,911,3.0,Petrol,2014.0,,63310
Toyota,Prius,1.8,Hybrid,2018.0,19017.0,44797
,Yaris,1.4,Hybrid,2007.0,143360.0,6209
BMW,Z4,2.4,Petrol,2021.0,4915.0,60317
BMW,Z4,3.0,Petrol,1993.0,260043.0,1477
Ford,Focus,1.4,Petrol,2015.0,36919.0,23449
VW,Polo,1.4,Petrol,2001.0,,4129
Toyota,Prius,1.8,Hybrid,,231649.0,1569
Ford,Focus,1.6,Petrol,1994.0,74472.0,4869
Toyota,Yaris,1.2,Petrol,2012.0,102514.0,9168
VW,Polo,1.0,Petrol,1997.0,134735.0,2132
Ford,Focus,1.6,Petrol,1992.0,175881.0,1944
Porsche,Cayenne,3.0,Petrol,2006.0,126718.0,16004
Toyota,Prius,1.8,Hybrid,2008.0,86326.0,15075
Ford,Fiesta,1.4,Petrol,1992.0,245794.0,673
VW,Passat,1.6,Diesel,1988.0,210194.0,1213
BMW,M5,4.0,Petrol,1984.0,89953.0,7064
Ford,Fiesta,,Petrol,2006.0,113610.0,4460
VW,Passat,2.0,Diesel,2003.0,,8665
Ford,Fiesta,1.4,Petrol,1992.0,280925.0,485
Ford,Fiesta,1.2,Petrol,2018.0,29268.0,19119
,Mondeo,1.8,Diesel,2014.0,21377.0,28286
Ford,Focus,1.4,,2010.0,67366.0,13881
Toyota,Yaris,1.4,Hybrid,,26795.0,29102
BMW,Z4,2.4,Petrol,2018.0,,46830
Ford,Focus,1.4,Petrol,1995.0,144557.0,2883
VW,Passat,1.6,Diesel,2011.0,53818.0,19033
Ford,Fiesta,1.0,Petrol,2005.0,165149.0,2762
BMW,M5,4.4,Petrol,1995.0,157046.0,9184
Ford,Mondeo,1.8,Diesel,2002.0,48312.0,10853
Porsche,911,2.2,Petrol,1998.0,172529.0,8241
VW,Polo,1.2,Petrol,2018.0,33619.0,19135
VW,Passat,2.0,Diesel,,210531.0,3218
Porsche,911,2.2,Petrol,1995.0,170716.0,6851
Ford,Focus,1.0,Petrol,2005.0,102319.0,6582
Ford,Focus,1.6,Petrol,1992.0,83482.0,4005
BMW,Z4,2.0,Petrol,2003.0,184605.0,4636
Toyota,Yaris,1.2,Hybrid,2011.0,68974.0,13024
Toyota,Yaris,,Hybrid,,87731.0,8770
Toyota,Prius,,Hybrid,2003.0,91908.0,9156
VW,Polo,1.2,Petrol,2009.0,115991.0,6014
VW,Passat,2.0,Diesel,2003.0,99554.0,9137
VW,Golf,2.0,Petrol,1993.0,,1445
VW,Golf,2.0,Diesel,1994.0,64859.0,5119
,X3,2.0,Petrol,,53491.0,27457
Ford,Fiesta,1.4,Petrol,2020.0,16418.0,25347
Toyota,Prius,1.8,Hybrid,1995.0,98303.0,5816
Ford,Fiesta,1.2,Petrol,2003.0,144351.0,3143
VW,Polo,1.4,Petrol,1991.0,130465.0,1749
Ford,Focus,1.6,Petrol,1992.0,,694
Porsche,911,2.6,,2006.0,129563.0,21707
Ford,Mondeo,1.6,Petrol,,87358.0,6159
Toyota,Prius,1.4,Hybrid,1992.0,187590.0,2049
VW,Polo,1.2,Petrol,2002.0,,4561
Toyota,Yaris,1.4,Petrol,2003.0,23923.0,9067
Toyota,Prius,1.8,Hybrid,1988.0,,1512
Porsche,718 Cayman,4.0,Petrol,2013.0,40361.0,45357
Toyota,RAV4,1.8,Hybrid,2011.0,113594.0,17732
VW,Golf,1.8,Hybrid,,206465.0,1702
Porsche,718 Cayman,2.4,Petrol,2016.0,26038.0,46644
Toyota,Yaris,1.0,Petrol,1986.0,341124.0,178
,Mondeo,1.4,Diesel,1996.0,147377.0,3134
Toyota,Yaris,1.2,Petrol,2005.0,69909.0,7229
Ford,Focus,1.6,Diesel,2006.0,83961.0,10659
VW,Golf,1.8,Hybrid,2016.0,,30239
Toyota,RAV4,1.8,Hybrid,2014.0,63889.0,30785
Toyota,RAV4,1.8,Hybrid,1992.0,189028.0,2697
Toyota,RAV4,2.0,Hybrid,1990.0,120842.0,4361
VW,Golf,1.4,Hybrid,2003.0,166709.0,4126
BMW,X3,2.0,Diesel,2013.0,,27731
Toyota,Prius,1.4,Hybrid,1998.0,229464.0,2106
Porsche,718 Cayman,2.0,Petrol,2014.0,91341.0,24511
VW,Polo,1.4,Petrol,1995.0,127882.0,2330
BMW,M5,4.4,Petrol,1994.0,179812.0,7091
Ford,Fiesta,1.2,Petrol,2008.0,43714.0,9014
Porsche,Cayenne,3.5,Diesel,1998.0,83442.0,14668
VW,Passat,1.6,Diesel,2002.0,135733.0,5800
VW,Golf,1.4,Petrol,2018.0,13954.0,27379
,Polo,1.2,Petrol,1994.0,243498.0,746
BMW,X3,2.0,Diesel,2016.0,47735.0,34147
Porsche,718 Cayman,4.0,Petrol,1995.0,154629.0,5991
VW,Golf,1.6,Diesel,1998.0,161333.0,2893
Ford,Fiesta,1.2,Petrol,1998.0,156867.0,2033
Toyota,RAV4,2.0,Hybrid,2022.0,9373.0,76303
VW,Passat,1.4,Diesel,,115000.0,6374
VW,Golf,1.8,Hybrid,2013.0,56706.0,20768
Ford,Mondeo,1.6,Diesel,1993.0,138312.0,2951
Toyota,Yaris,,Petrol,2020.0,20558.0,26565
